domain,group,authors_country_flag,work_num,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth
Academic year-2,cn,CN,59.0,1.5615562,6.8194838,9.917661,4.6453247,5.291073117459604
Academic year-2,us,US,264.0,1.1494993,8.107578,11.183747,5.7612276,7.120665498792576
Acanthaceae-2,cn,CN,41.0,0.81047946,7.288567,8.895382,5.776098,5.861649516462151
Acanthaceae-2,us,US,30.0,1.1064199,8.064455,10.134679,5.7704825,7.266339132155494
Acanthamoeba-2,cn,CN,39.0,1.3601115,6.5097585,9.3206415,3.6696477,4.843277285990993
Acanthamoeba-2,us,US,370.0,1.0811726,7.946063,10.863651,5.1110845,6.826058348965816
Acari-2,cn,CN,448.0,1.0439522,7.6189365,11.279062,5.4718833,6.277985196988439
Acari-2,us,US,1918.0,0.8787831,8.729393,11.460514,5.733347,8.110512308533643
Acaricide-2,cn,CN,172.0,1.2255803,7.428693,10.733318,5.295569,6.06031460729659
Acaricide-2,us,US,755.0,0.93790793,8.423965,11.770046,6.031908,7.588056295865428
Accelerated aging-2,cn,CN,385.0,1.1467148,7.7671285,11.898015,5.3410153,6.519339579730342
Accelerated aging-2,us,US,392.0,1.0245011,8.704788,12.445574,6.4599557,8.099341092302694
Acceleration-2,cn,CN,9355.0,1.1835583,8.75056,13.621991,5.6681356,8.207035062616583
Acceleration-2,us,US,8652.0,0.83772457,9.772776,13.00088,6.917716,10.11352013392137
Accelerometer-2,cn,CN,3074.0,1.0478598,7.9817295,11.7069845,5.275342,6.805110914252012
Accelerometer-2,us,US,3222.0,1.0546678,8.654571,11.942231,5.884541,8.009138573747279
Acceptance angle-2,us,US,69.0,1.0668525,8.841079,10.855084,5.967597,8.462726551781003
Acceptance testing-2,cn,CN,27.0,0.68114114,8.625135,10.258166,7.3465605,8.158345838897247
Acceptance testing-2,us,US,201.0,0.88862693,8.922458,11.809642,6.901764,8.557837477596195
Acceptor-2,cn,CN,4553.0,1.2928321,8.516283,12.929369,5.472181,7.703217859802109
Acceptor-2,us,US,4502.0,0.9476438,9.672412,13.59092,6.9057283,9.798863233359882
Access control-2,cn,CN,2258.0,1.3861203,7.6887774,12.660979,4.746188,6.362240770765098
Access control-2,us,US,1953.0,1.1980191,8.444145,12.9663105,5.684747,7.576719839581486
Access management-2,cn,CN,21.0,1.1284882,7.3615947,9.778546,5.721845,6.112087695371542
Access management-2,us,US,55.0,0.9449047,8.09064,11.078493,5.0629654,7.112763654427624
Access method-2,cn,CN,52.0,0.8793743,8.408303,10.740753,6.574695,7.572463314367823
Access method-2,us,US,86.0,0.8849535,8.723959,10.474639,6.7056127,8.116213551298216
Access network-2,cn,CN,459.0,0.86116743,7.9515195,10.552348,5.702345,6.649475461303069
Access network-2,us,US,290.0,0.81490105,8.29566,10.734781,6.26745,7.255447516740631
Access time-2,cn,CN,90.0,0.928868,8.398554,10.762925,6.425682,7.496232934361231
Access time-2,us,US,176.0,0.79014707,8.96765,10.999935,7.111061,8.449748318551698
Access to finance-2,cn,CN,16.0,1.146584,6.685949,8.830037,5.331232,5.128892337282494
Access to finance-2,us,US,60.0,0.8900555,7.4749975,9.315667,5.813386,6.046849836063913
Accessible surface area-2,cn,CN,29.0,1.3599067,7.229724,10.569293,5.6403465,5.94828591998575
Accessible surface area-2,us,US,128.0,1.0727508,7.5658493,11.055901,5.3363304,6.220240615156484
Accessory nerve-2,cn,CN,43.0,1.4286236,7.0634756,10.534485,4.8072305,5.606508491242806
Accessory nerve-2,us,US,160.0,1.151384,7.7776437,10.704314,5.357023,6.564755898888322
Accident analysis-2,cn,CN,101.0,1.3238674,6.6042285,11.514404,4.503559,4.907552928635568
Accident analysis-2,us,US,59.0,0.9653047,7.7200747,10.275924,5.964596,6.563683556994803
Accident and emergency-2,cn,CN,20.0,1.0681162,7.065122,9.545562,5.006664,5.746132903977454
Accident and emergency-2,us,US,17.0,0.96550375,8.13378,9.945297,6.2110624,7.5928750137488095
Accident investigation-2,cn,CN,41.0,1.2151933,5.659961,9.276296,3.933756,3.7037857022227314
Accident investigation-2,us,US,27.0,0.8453619,7.7147894,9.699976,6.5811768,6.654622224661026
Accident management-2,cn,CN,83.0,1.6133672,6.562558,10.52255,4.3531346,4.894080878074746
Accident management-2,us,US,93.0,1.1915714,8.088685,11.935315,5.6921415,7.108524275122235
Accidental fall-2,cn,CN,25.0,1.8662659,6.8086195,12.401333,5.098658,5.507774829864502
Accidental fall-2,us,US,52.0,1.3789526,8.140865,11.860564,5.5870066,7.348885678777506
Accidental-2,cn,CN,226.0,1.3269413,8.453562,12.831782,5.453564,7.872687906628229
Accidental-2,us,US,1208.0,1.0956229,8.781423,12.59295,5.9892526,8.350302194131245
Acclimatization-2,cn,CN,511.0,1.0215375,8.668836,11.384024,6.0294123,8.062254609194781
Acclimatization-2,us,US,1850.0,0.97440255,9.234192,12.144085,5.567916,9.08448051692659
Accommodation-2,cn,CN,359.0,1.0553085,9.345703,12.209938,6.689167,9.33602343282945
Accommodation-2,us,US,1409.0,0.93399787,9.710041,13.111873,7.1809807,10.05608762582365
Accordion-2,cn,CN,15.0,0.7686919,8.811255,11.04417,8.055237,8.79686980020432
Accordion-2,us,US,33.0,0.78297144,9.457231,11.799949,7.7043724,9.840834372197136
Accountability-2,cn,CN,169.0,1.2070445,8.289306,11.842268,5.5389166,7.439006791579629
Accountability-2,us,US,3875.0,0.9155618,8.591596,13.117999,5.4401984,7.890699847072085
Accounting information system-2,cn,CN,318.0,1.2358079,7.4188895,11.900054,5.162328,5.941286314580481
Accounting information system-2,us,US,1127.0,0.99288607,8.16868,11.624778,5.4161134,7.085154488133782
Accounting method-2,cn,CN,29.0,1.2680788,7.122333,10.748783,5.291802,5.706758686789755
Accounting method-2,us,US,24.0,0.9784974,8.453504,10.564997,6.87983,7.895585941702947
Accounting research-2,cn,CN,5.0,0.96334976,5.988887,7.22631,4.7124934,4.90879625082016
Accounting research-2,us,US,197.0,1.1181744,7.3340764,10.212679,4.1152754,5.806406738016364
Accounts receivable-2,cn,CN,40.0,1.4266943,6.756059,9.82416,4.677108,5.144243484888321
Accounts receivable-2,us,US,66.0,0.8960836,8.566398,12.525276,6.7332444,7.856273245422443
Accreditation-2,cn,CN,194.0,1.2950772,7.601419,10.903734,5.162713,6.391297306975503
Accreditation-2,us,US,6130.0,1.1954677,8.014877,12.526566,5.0535655,6.971005441646014
Accredited investor-2,us,US,11.0,0.90979844,7.2562504,9.340002,6.1026807,6.167963472279638
Accretion disc-2,cn,CN,187.0,1.3552445,8.180222,11.679813,5.404059,7.155424439856247
Accretion disc-2,us,US,610.0,1.0142204,8.615254,11.663479,6.6151395,7.836913829428056
Accuracy and precision-2,cn,CN,1368.0,1.2516139,7.9082365,12.593435,5.2893357,6.793318206629166
Accuracy and precision-2,us,US,836.0,0.83299565,9.327891,12.241051,6.2229934,9.294894063814128
Aceclofenac-2,cn,,,,,,,
Aceclofenac-2,us,,,,,,,
Acentric factor-2,cn,CN,127.0,1.157229,8.211812,12.059897,5.950884,7.243679198510932
Acentric factor-2,us,US,145.0,0.8730777,9.287712,12.102642,7.4785957,9.146268283841252
Acetabulum-2,cn,CN,565.0,0.9741378,7.295345,11.2288885,5.2842884,5.646295679038971
Acetabulum-2,us,US,1004.0,1.1242442,7.821806,12.059897,4.9149175,6.450551839838255
Acetal-2,cn,CN,290.0,1.0990843,8.254015,11.980654,5.798723,7.337569814655637
Acetal-2,us,US,997.0,1.0442016,8.528319,12.725801,5.681562,7.771822604251952
Acetamide-2,cn,CN,347.0,1.1913265,8.372702,11.396329,5.8640604,7.576353564454877
Acetaminophen-2,cn,CN,411.0,1.6898905,6.7713547,11.733406,3.689495,5.187747857120101
Acetaminophen-2,us,US,2269.0,1.0532875,8.079382,11.712122,4.8153224,7.022211874467686
Acetanilide-2,cn,CN,96.0,1.2911637,7.669,10.699491,4.9885836,6.468964880495747
Acetanilide-2,us,US,135.0,0.9248547,9.159446,11.903803,6.6036267,8.971274137537094
Acetazolamide-2,cn,CN,53.0,1.1044683,8.099237,10.991964,6.357409,7.268045429100994
Acetazolamide-2,us,US,702.0,0.927202,8.7912655,11.759125,5.925467,8.2616464961947
