domain,group,inventors_country_flag,work_num,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth
B82-1,us,US,6345.0,0.9177731275558472,8.507853507995605,12.331830024719238,5.792903423309326,5.368323656065527
B9-1,cn,CN,83.0,0.8870481848716736,7.595369815826416,9.461459159851074,5.915871620178223,4.461389885136498
B9-1,us,US,414.0,0.8128642439842224,8.251482009887695,10.827077865600586,6.314387798309326,5.15368582895843
C01-1,cn,CN,385.0,0.7088550925254822,8.520488739013672,10.36060905456543,6.750757217407227,5.446964420128239
C01-1,us,US,4037.0,0.7384417057037354,8.785595893859863,11.950967788696287,6.5680036544799805,5.759058987148919
C02-1,cn,CN,146.0,0.8723599910736084,8.0684814453125,10.943199157714844,6.445263862609863,4.981299140963515
C02-1,us,US,2696.0,0.8645129799842834,8.36702823638916,12.063066482543944,6.126279830932617,5.286596722086131
C03-1,us,US,2254.0,0.8408890962600708,8.57048225402832,11.885318756103516,6.437353134155273,5.549515904268688
C04-1,cn,CN,142.0,0.7865035533905029,8.690447807312012,10.622519493103027,6.752318382263184,5.6843826048810655
C04-1,us,US,2521.0,0.7863099575042725,8.686286926269531,12.44157600402832,6.418122291564941,5.647944073030388
C05-1,us,US,410.0,1.0140690803527832,8.046339988708496,12.512398719787598,5.80680513381958,4.914584428781083
C06-1,us,US,407.0,1.1614974737167358,7.95934534072876,13.37637424468994,6.027163505554199,4.775590085641028
C07-1,cn,CN,2279.0,1.046394944190979,8.636711120605469,12.059632301330566,6.221124172210693,5.510068370802145
C07-1,us,US,51100.0,0.922387719154358,8.91370964050293,12.66404628753662,6.111133575439453,5.832544466146402
C08-1,cn,CN,753.0,0.7091250419616699,8.644862174987793,11.779047966003418,6.727467060089111,5.523125932089215
C08-1,us,US,16238.0,0.742138683795929,8.656290054321289,12.453861236572266,5.868821144104004,5.528365563615068
C09-1,cn,CN,437.0,0.7420860528945923,8.746265411376953,10.79574489593506,6.581936359405518,5.68275497915603
C09-1,us,US,7737.0,0.7844417691230774,8.833032608032227,12.228294372558594,6.519224643707275,5.791185488539256
C1-1,cn,CN,785.0,0.7360745668411255,8.485166549682617,11.29314136505127,6.705915927886963,5.387823004554008
C1-1,us,US,5162.0,0.7522671818733215,8.733362197875977,12.151359558105469,6.532090663909912,5.684110030050917
C10-1,cn,CN,459.0,0.8020431995391846,8.147394180297852,10.655498504638672,6.380744457244873,5.008545201698311
C10-1,us,US,7932.0,0.836703896522522,8.423064231872559,12.669387817382812,5.912693977355957,5.320733258785168
C11-1,us,US,4816.0,1.0339679718017578,8.217167854309082,12.221845626831056,6.041746139526367,5.057835298875048
C12-1,cn,CN,2106.0,0.7292817831039429,8.768696784973145,11.39060115814209,6.678543567657471,5.723841552145075
C12-1,us,US,54930.0,0.7974243760108948,8.875502586364746,12.246257781982422,6.384111881256104,5.847380949312097
C13-1,cn,CN,11.0,0.7679060697555542,7.227685928344727,8.588189125061035,6.099361896514893,4.355655637654394
C13-1,us,US,338.0,1.2396053075790403,7.527316093444824,11.508881568908691,5.481929779052734,4.359464080254625
C14-1,cn,CN,6.0,0.5271362066268921,6.616090297698975,7.413091659545898,6.003820419311523,3.929482301076263
C14-1,us,US,57.0,1.002535700798035,7.913930892944336,10.776846885681152,6.233252048492432,4.758152298461226
C17-1,cn,,,,,,,
C17-1,us,,,,,,,
C2-1,cn,CN,514.0,0.7752898335456848,8.00977897644043,10.726632118225098,6.317754745483398,4.856499252118894
C2-1,us,US,3903.0,0.8455770015716553,8.26416301727295,11.919410705566406,6.091841220855713,5.150011166579048
C21-1,cn,CN,286.0,0.99873024225235,7.916981220245361,10.764533042907717,6.089583873748779,4.770580670860198
C21-1,us,US,1072.0,0.8638978600502014,8.528730392456055,12.76618480682373,6.136875152587891,5.483682870564593
C22-1,cn,CN,610.0,0.7631807923316956,8.397356033325195,10.81729793548584,6.313882350921631,5.278977299157589
C22-1,us,US,3925.0,0.8073013424873352,8.644281387329102,11.227288246154783,6.282888889312744,5.578040622726064
C23-1,cn,CN,762.0,0.8302776217460632,8.231256484985352,11.08869457244873,6.3766703605651855,5.083741327052209
C23-1,us,US,10526.0,0.8828190565109253,8.404672622680664,11.841181755065918,5.917534351348877,5.298473246900159
C25-1,cn,CN,274.0,0.7980309724807739,8.34733772277832,10.359484672546388,6.114286422729492,5.227615212884828
C25-1,us,US,3959.0,0.8633391857147217,8.441377639770508,12.379730224609377,5.906172275543213,5.342885055772456
C3-1,cn,CN,237.0,0.8749324679374695,8.27711296081543,10.40588665008545,6.50325345993042,5.209921523347845
C3-1,us,US,3049.0,0.9237356185913086,8.394680976867676,12.794931411743164,6.169785976409912,5.33183514662548
C30-1,cn,CN,177.0,0.8548102378845215,7.990324020385742,10.22246551513672,6.069157123565674,4.85880573456663
C30-1,us,US,1672.0,0.7994574308395386,8.315049171447754,12.164801597595217,6.241143703460693,5.211253945891286
C4-1,cn,CN,291.0,0.7452852129936218,8.447345733642578,10.63638687133789,6.485565185546875,5.345856211580696
C4-1,us,US,3210.0,0.7669494152069092,8.622879981994629,12.515488624572754,6.372838973999023,5.562584759777792
C40-1,cn,CN,35.0,1.0919208526611328,7.557359218597412,9.772466659545898,5.5816850662231445,4.402332125591627
C40-1,us,US,1374.0,0.9657241702079772,7.859920978546143,11.54401397705078,5.600612640380859,4.583852584082422
C5-1,us,US,619.0,0.9407719373703004,7.852701663970947,12.609906196594238,6.025969982147217,4.672388362854974
C6-1,cn,CN,8.0,0.8968226909637451,7.044072151184082,8.87649917602539,6.070387840270996,4.170823842287064
C6-1,us,US,407.0,1.002774000167847,7.901811122894287,12.230487823486328,5.887168884277344,4.681911175471271
C7-1,cn,CN,4038.0,1.0665024518966677,8.53944206237793,11.958984375,5.969529151916504,5.388198630308395
C7-1,us,US,53425.0,0.9345836639404296,8.822311401367188,12.77099323272705,6.051380634307861,5.71689792191944
C8-1,cn,CN,1654.0,0.702343761920929,8.541940689086914,11.810628890991213,6.692001819610596,5.393187608071102
C8-1,us,US,20192.0,0.7379575967788696,8.606904983520508,12.3584566116333,6.054919242858887,5.466671537907686
C9-1,cn,CN,1373.0,0.6966426372528076,8.746576309204102,11.175540924072266,6.735710620880127,5.663375240729096
C9-1,us,US,14110.0,0.7802440524101257,8.752963066101074,12.200584411621094,6.499026775360107,5.685462181511625
D01-1,cn,CN,110.0,0.9142403602600098,7.936183452606201,10.677071571350098,6.236661434173584,4.769900819974907
D01-1,us,US,856.0,0.8670780062675476,8.241256713867188,12.325438499450684,6.064700603485107,5.077636092722059
D02-1,cn,CN,23.0,0.6477511525154114,8.015440940856934,9.382708549499512,6.731883049011231,5.016800184023708
D02-1,us,US,332.0,0.8192959427833557,8.348750114440918,12.33948040008545,6.492877960205078,5.221469062482356
D03-1,cn,CN,23.0,0.8401690125465393,7.923274993896484,9.635612487792969,6.705061435699463,4.877470404263079
D03-1,us,US,483.0,0.6021396517753601,8.673882484436035,11.0131254196167,7.269923210144043,5.583089786778245
D04-1,us,US,1113.0,0.8617257475852966,8.353165626525879,11.444016456604004,6.375072479248047,5.215598353085298
D05-1,cn,CN,5.0,1.112463355064392,7.244590759277344,9.303555488586426,6.297992706298828,4.85353946685791
D06-1,cn,CN,108.0,0.8306303024291992,8.367488861083984,10.859217643737791,6.65660572052002,5.300851724332659
D06-1,us,US,1476.0,0.7376543283462524,8.763481140136719,11.2290678024292,6.751527786254883,5.741557585065664
D07-1,us,US,64.0,1.1733005046844482,7.628575801849365,12.541418075561523,6.146920204162598,4.48074292036749
D1-1,cn,CN,161.0,0.6868517398834229,8.001433372497559,10.035661697387695,6.458767414093018,4.797801163903671
D1-1,us,US,1184.0,0.8586955666542053,8.159524917602539,12.538093566894531,5.964345932006836,4.97472444366008
D2-1,cn,CN,37.0,0.963173508644104,7.700263977050781,10.662476539611816,5.9207024574279785,4.58903764640246
D2-1,us,US,379.0,0.8442632555961609,8.191730499267578,11.229191780090332,6.420722007751465,5.014369483551988
D21-1,us,US,2532.0,0.986707866191864,8.091239929199219,12.13723850250244,5.995172023773193,4.956479549388646
D3-1,cn,CN,39.0,0.7434612512588501,8.027891159057617,9.965703010559082,5.986581802368164,4.905774851559627
D3-1,us,US,657.0,0.7899084687232971,8.522216796875,10.747320175170898,6.568058967590332,5.401168325915592
D4-1,us,US,1517.0,0.8948332667350769,8.221939086914062,11.56740951538086,5.904324531555176,5.058476657475012
D5-1,cn,CN,4.0,0.6937742233276367,6.427950859069824,7.067600250244141,5.3711442947387695,4.105774561564132
D6-1,cn,CN,339.0,1.0207843780517578,8.272748947143555,11.476405143737791,6.103757381439209,5.183235637986527
D6-1,us,US,2012.0,0.7447952628135681,8.72874927520752,12.16245460510254,6.727221965789795,5.687801795741692
D7-1,cn,CN,11.0,0.7513973116874695,6.270622253417969,7.340432167053223,4.873373508453369,3.266321529041633
D7-1,us,US,97.0,1.1830933094024658,7.422759056091309,10.070521354675291,5.561410903930664,4.238864507436546
E01-1,cn,CN,54.0,0.9229127168655396,8.319969177246094,11.448159217834473,6.965216636657715,5.3086718527442684
E01-1,us,US,1546.0,0.7609022855758667,8.5056734085083,11.782343864440918,6.495891094207764,5.437711339852385
E02-1,us,US,1626.0,0.6660579442977905,8.71004581451416,11.250425338745115,6.930558204650879,5.705282150852
E03-1,cn,CN,103.0,1.1883820295333862,7.357225894927978,11.012321472167969,5.703151226043701,4.157552485599439
E03-1,us,US,1141.0,0.8664953708648682,8.254591941833496,11.858266830444336,6.438104629516602,5.115293592110561
E04-1,cn,CN,151.0,0.7249823808670044,8.72046184539795,10.86680507659912,7.0771074295043945,5.747662065571248
E04-1,us,US,5425.0,0.8681195974349976,8.554272651672363,11.586749076843262,6.105549335479736,5.503458454897483
E05-1,cn,CN,182.0,1.3682843446731567,7.297996520996094,10.938692092895508,5.258376598358154,4.112790600863121
E05-1,us,US,2909.0,0.9217979311943054,8.086031913757324,11.451556205749512,5.471431255340576,4.920374578193844
E06-1,cn,CN,37.0,0.908963143825531,7.815367221832275,10.206993103027344,6.708495140075684,4.774407142991421
E06-1,us,US,1786.0,0.8962506055831909,8.301827430725098,12.006263732910156,5.987716197967529,5.210192973899993
