domain,group,betweeness centrality_std_cor,betweeness centrality_average_cor,degree_std_cor,degree_average_cor,closeness centrality_std_cor,closeness centrality_average_cor
Esophagus-2,us,0.0097030910461902,0.8753931428691981,0.00628991671693,0.941763235466967,0.0380523420673317,0.9074075073135548
Espionage-2,cn,0.4,0.8,0.4,0.8,0.4,0.8
Espionage-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Essential oil-2,cn,0.0221283573202925,0.8567096260604204,0.0143001684854556,0.9345788093454768,0.079040979165567,0.8535534932109495
Essential oil-2,us,0.3778436658576212,0.7402119696777867,0.390103065649125,0.774362901499217,0.3806050499950237,0.7541837942079742
Essential tremor-2,cn,0.3999999999999999,0.3,0.4031870996914495,0.306035340093558,0.4031870996914495,0.306035340093558
Essential tremor-2,us,0.0278304209717349,0.858770097842393,0.0113430463360596,0.9232018764902318,0.0748109991630927,0.9120216373949346
Essentialism-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Essentialism-2,us,0.0356249294274606,0.960672348421496,0.0268702758303652,0.962998762955996,0.0296475420211934,0.9511781091224828
Estate-2,cn,0.4,0.8,0.4,0.8,0.4,0.8
Estate-2,us,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Estimation of distribution algorithm-2,cn,0.4889581434842544,0.399231419345566,0.4783713188882328,0.3905081693186787,0.4703485403362015,0.3839993779059602
Estimation of distribution algorithm-2,us,0.1995990326221911,0.7407447815160471,0.208139600175723,0.8034649048582816,0.208139600175723,0.8034649048582816
Estimation theory-2,cn,0.33503796855843,0.6660747442511731,0.3579741083970484,0.7120165940616265,0.3719149703473678,0.5115884273177908
Estimation theory-2,us,0.3621407594811604,0.6127126719276764,0.3760490658399945,0.747753180330294,0.3732969283727432,0.7321060572230114
Estimation-2,cn,0.0197947845360594,0.8589325212184356,0.0110062720792892,0.9239013799791028,0.0383934818867102,0.7852875827048673
Estimation-2,us,0.4196794330412755,0.3396293586250863,0.4481313302592959,0.3645043577761425,0.4549951411322584,0.3714632495341685
Estimator-2,cn,0.0096712676037846,0.860783857964423,0.0043334810960497,0.9212131230375142,0.0290933349877622,0.8454434360553054
Estimator-2,us,0.0106082529841896,0.8726829680651509,0.0051709929923603,0.9314019941097126,0.0200461583056609,0.8520121216817668
Estonian-2,us,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
Estrogen-2,cn,0.0070017859360967,0.8442873792256925,0.0038633503382222,0.9248481397309772,0.0370913738117611,0.8722341003942787
Estrogen-2,us,0.0076146735170531,0.8550136639142136,0.0080889215977241,0.9385547747657615,0.0485158268495733,0.8568923346083593
Estrous cycle-2,cn,0.0560453529447093,0.8459431664248995,0.0568086799038327,0.914193214258468,0.1210620794524623,0.855780165639888
Estrous cycle-2,us,0.0188898021166744,0.8535908839654077,0.0153657054979233,0.9297387734152686,0.04787831297578,0.9087659339468795
Estuary-2,cn,0.0218532780554718,0.8421769983418386,0.0103375225060656,0.9093141725041652,0.0149297211034534,0.8557708972384429
Estuary-2,us,0.0149770884024147,0.860461994243112,0.0056308245295173,0.9271495272477064,0.100594203843191,0.793879260618142
Ethanethiol-2,cn,0.3999999999999999,0.8,0.3999999999999999,0.8,0.3999999999999999,0.8
Ethanethiol-2,us,0.4000000000000001,0.2,0.4000000000000001,0.2,0.4000000000000001,0.2
