inventors_id,time_window,patent_id,time_window_num,patent_num_time_window,total_patent_num,total_patent_num_no_overlap,group,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth,domain
fl:an_ln:gonzaga-2,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8797021, 9001957], [8797021, 9001957], [8797021, 9001957], [8797021, 9001957], [8797021, 9001957], [9001957]]",6,"[2, 2, 2, 2, 2, 1]",11,2,us,0.8414099812507629,0.940725028514862,2.8221750259399414,0.5644350647926331,0.1429448525110928,G01-1
fl:an_ln:goodwin-4,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[7733490, 8166812, 8283174], [8166812, 8283174, 9341169], [8166812, 8283174, 9341169], [9341169], [9341169], [9341169]]",6,"[3, 3, 3, 1, 1, 1]",12,4,us,0.8984084129333496,3.526127576828003,5.385340213775635,2.697726249694824,1.2228411436080933,G01-1
fl:an_ln:gopinath-4,"[(2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9360543, 9500727], [9360543, 9500727], [9360543, 9500727, 'RE47026'], [9360543, 9500727, 'RE47026'], [9360543, 9500727, 'RE47026']]",5,"[2, 2, 3, 3, 3]",13,3,us,0.2125602513551712,1.0413286685943604,1.3016607761383057,0.8677739500999451,0.1117748022079467,G01-1
fl:an_ln:goyal-7,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019)]","[[7894361, 8125919, 8526468, 8830848], [7894361, 8125919, 8526468, 8830848], [8125919, 8526468, 8830848], [8526468, 8830848], [8830848]]",5,"[4, 4, 3, 2, 1]",14,4,us,0.8603020906448364,2.417444944381714,4.0592942237854,1.5089300870895386,0.6313776969909668,G01-1
fl:an_ln:furman-2,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8869598, 9170174], [8869598, 9170174], [8869598, 9170174, 9574965], [8869598, 9170174, 9574965], [8869598, 9170174, 9574965], [9170174, 9574965]]",6,"[2, 2, 3, 3, 3, 2]",15,3,us,0.8129735589027405,1.6333249807357788,2.4492759704589844,0.8203569054603577,0.2980713049570767,G01-1
fl:an_ln:full-1,"[(2010, 2015), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[7727466], [9585961], [9585961], [9585961], [9585961]]",5,"[1, 1, 1, 1, 1]",5,2,us,1.7469993829727173,2.3293323516845703,5.823331356048584,1.455832839012146,0.7798224687576294,G01-1
fl:an_ln:enke-1,"[(2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9573130, 9804070], [9573130, 9804070], [9573130, 9804070], [9573130, 9804070]]",4,"[2, 2, 2, 2]",8,2,us,0.0,0.0,0.0,0.0,5.960464477539063e-06,G01-1
fl:an_ln:evans-27,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019)]","[[8394354, 8841077], [8394354, 8841077], [8394354, 8841077], [8394354, 8841077], [8841077]]",5,"[2, 2, 2, 2, 1]",9,2,us,0.9641597270965576,1.2855463027954102,3.2138657569885254,0.8034664392471313,0.2306199073791504,G01-1
fl:an_ln:facciano-2,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018)]","[[8074516, 8552350], [8074516, 8552350], [8552350], [8552350]]",4,"[2, 2, 1, 1]",6,2,us,0.0,2.6152126789093018,2.6152126789093018,2.6152126789093018,0.688545902570084,G01-1
fl:an_ln:faraon-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[7994467, 9176279], [7994467, 9176279, 9522819], [9176279, 9522819], [9176279, 9522819], [9176279, 9522819], [9176279, 9522819]]",6,"[2, 3, 2, 2, 2, 2]",13,3,us,0.971866488456726,1.9670652151107788,4.09766960144043,1.4361165761947632,0.447465181350708,G01-1
fl:an_ln:fedorov-7,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8834847, 8956816], [8834847, 8956816], [8834847, 8956816, 9732382], [10030264, 10150872, 8834847, 8956816, 9732382], [10030264, 10150872, 8834847, 8956816, 9732382], [10030264, 10150872, 8956816, 9732382]]",6,"[2, 2, 3, 5, 5, 4]",21,5,us,0.3431174457073211,1.143978238105774,1.6312440633773804,0.8256050944328308,0.1325867573420254,G01-1
fl:an_ln:ferguson-16,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8413525, 8528423, 9157818], [8413525, 8528423, 9157818], [8413525, 8528423, 9157818], [8413525, 8528423, 9157818], [9157818], [9157818]]",6,"[3, 3, 3, 3, 1, 1]",14,3,us,0.5375653505325317,1.5204644203186035,2.2806966304779053,1.1403483152389526,0.2275198698043823,G01-1
fl:an_ln:ferrese-1,"[(2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9696782], [9696782], [10228747, 9696782], [10228747, 9696782]]",4,"[1, 1, 2, 2]",6,2,us,0.0,0.5820987820625305,0.5820987820625305,0.5820987820625305,0.0341226657231601,G01-1
fl:an_ln:ferro-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2014, 2019), (2015, 2020)]","[[7995829, 8244488], [7995829, 8244488], [8244488], [10203290], [10203290]]",5,"[2, 2, 1, 1, 1]",7,3,us,1.132654905319214,4.4773712158203125,5.697258472442627,3.1053500175476074,1.9983470439910889,G01-1
fl:an_ln:feyh-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9064800, 9064982, 9093594, 9130081, 9194882], [9064800, 9064982, 9093594, 9130081, 9194882, 9236522, 9236555, 9257587, 9368658, 9400288, 9423303, 9476779], [9064800, 9064982, 9093594, 9130081, 9194882, 9236522, 9236555, 9257587, 9368658, 9400288, 9423303, 9476779, 9557222, 9588073, 9638524, 9677950, 9698281], [9064800, 9064982, 9093594, 9130081, 9194882, 9236522, 9236555, 9257587, 9368658, 9400288, 9423303, 9476779, 9557222, 9588073, 9638524, 9677950, 9698281], [10175188, 10184910, 9064800, 9064982, 9093594, 9130081, 9194882, 9236522, 9236555, 9257587, 9368658, 9400288, 9423303, 9476779, 9557222, 9588073, 9638524, 9677950, 9698281], [10175188, 10184910, 9064800, 9064982, 9093594, 9130081, 9194882, 9236522, 9236555, 9257587, 9368658, 9400288, 9423303, 9476779, 9557222, 9588073, 9638524, 9677950, 9698281]]",6,"[5, 12, 17, 17, 19, 19]",89,19,us,0.5280422568321228,0.9221776127815248,2.089967727661133,0.6013087630271912,0.1052395502726142,G01-1
fl:an_ln:fink-5,"[(2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9261425, 9464950], [9261425, 9464950, 9835511], [9261425, 9464950, 9835511], [9261425, 9464950, 9835511], [9261425, 9464950, 9835511]]",5,"[2, 3, 3, 3, 3]",14,3,us,0.6392955183982849,0.8523941040039062,2.1309852600097656,0.5327463746070862,0.109562873840332,G01-1
fl:an_ln:flamar-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8961991], [8961991, 9416186], [8961991, 9416186], [8961991, 9416186], [8961991, 9416186], [8961991, 9416186]]",6,"[1, 2, 2, 2, 2, 2]",11,2,us,0.4331108629703522,0.4842327833175659,1.452697992324829,0.2905396819114685,0.0355561574300082,G01-1
fl:an_ln:flannery-3,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8402666], [8402666, 9291638], [8402666, 9291638], [8402666, 9291638], [9291638], [9291638]]",6,"[1, 2, 2, 2, 1, 1]",9,2,us,2.0726938247680664,2.847064018249512,5.97883415222168,0.8541192412376404,1.0946240027745515,G01-1
fl:an_ln:flye-1,"[(2010, 2015), (2011, 2016), (2012, 2017)]","[[7759076, 8163510], [8163510], [8163510]]",3,"[2, 1, 1]",4,2,us,5.684341886080804e-14,7.105066401891236e-07,7.105066970325424e-07,7.105066970325424e-07,0.0,G01-1
fl:an_ln:ford-9,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018)]","[[7727774, 8137619, 8609023], [8137619, 8609023], [8137619, 8609023], [8609023]]",4,"[3, 2, 2, 1]",8,3,us,0.7673839330673218,2.120136260986328,2.9852452278137207,1.3560868501663208,0.5135084191958157,G01-1
fl:an_ln:frome-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8577604, 9057618], [8577604, 9057618, 9348480], [8577604, 9057618, 9348480], [8577604, 9057618, 9348480], [9057618, 9348480], [9057618, 9348480]]",6,"[2, 3, 3, 3, 2, 2]",15,3,us,1.5351020097732544,1.373037815093994,4.119112014770508,9.8791133495979e-07,0.3802621364593506,G01-1
fl:an_ln:frutos-2,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019)]","[[7871811, 8114348, 8759013, 8846575], [7871811, 8114348, 8759013, 8846575], [8114348, 8759013, 8846575], [8759013, 8846575], [8759013, 8846575]]",5,"[4, 4, 3, 2, 2]",15,4,us,0.293712317943573,1.760991454124451,1.9256129264831543,1.1744486093521118,0.2959346771240234,G01-1
fl:an_ln:graham-10,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9064982], [9064982, 9455353, 9476779], [9064982, 9455353, 9476779, 9588073], [9064982, 9455353, 9476779, 9588073], [10175188, 10184910, 9064982, 9455353, 9476779, 9588073], [10175188, 10184910, 9064982, 9455353, 9476779, 9588073]]",6,"[1, 3, 4, 4, 6, 6]",24,6,us,1.0731464624404907,2.033836126327514,4.330245018005371,1.1570662260055542,0.4743093252182007,G01-1
